Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Jan-1997,7301
Feb-1997,7668
Mar-1997,7796
Apr-1997,8064
May-1997,8139
Jun-1997,8288
Jul-1997,8496
Aug-1997,8233
Sep-1997,8023
Oct-1997,8141
Nov-1997,7965
Dec-1997,8065
Jan-1998,7618
Feb-1998,7711
Mar-1998,8004
Apr-1998,8312
May-1998,8279
Jun-1998,8520
Jul-1998,8680
Aug-1998,8568
Sep-1998,8310
Oct-1998,8378
Nov-1998,8167
Dec-1998,8451
Jan-1999,7701
Feb-1999,8031
Mar-1999,8128
Apr-1999,8506
May-1999,8420
Jun-1999,8886
Jul-1999,8942
Aug-1999,8579
Sep-1999,8305
Oct-1999,8542
Nov-1999,8240
Dec-1999,8859
Jan-2000,7653
Feb-2000,8291
Mar-2000,8305
Apr-2000,8375
May-2000,8661
Jun-2000,8824
Jul-2000,8642
Aug-2000,8921
Sep-2000,8518
Oct-2000,8417
Nov-2000,8384
Dec-2000,8670
Jan-2001,8099
Feb-2001,8234
Mar-2001,8532
Apr-2001,8575
May-2001,8706
Jun-2001,8690
Jul-2001,9023
Aug-2001,8953
Sep-2001,8557
Oct-2001,8655
Nov-2001,8677
Dec-2001,8585
Jan-2002,8227
Feb-2002,8607
Mar-2002,8655
Apr-2002,8766
May-2002,9078
Jun-2002,9140
Jul-2002,9143
Aug-2002,9313
Sep-2002,8687
Oct-2002,8814
Nov-2002,8829
Dec-2002,8893
Jan-2003,8414
Feb-2003,8525
Mar-2003,8602
Apr-2003,8838
May-2003,9042
Jun-2003,9170
Jul-2003,9192
Aug-2003,9411
Sep-2003,8926
Oct-2003,9108
Nov-2003,8946
Dec-2003,9011
Jan-2004,8705
Feb-2004,8838
Mar-2004,9024
Apr-2004,9126
May-2004,9179
Jun-2004,9322
Jul-2004,9357
Aug-2004,9327
Sep-2004,9015
Oct-2004,9097
Nov-2004,9055
Dec-2004,9206
Jan-2005,8813
Feb-2005,8861
Mar-2005,8994
Apr-2005,9128
May-2005,9278
Jun-2005,9373
Jul-2005,9534
Aug-2005,9537
Sep-2005,8915
Oct-2005,9036
Nov-2005,9115
Dec-2005,9296
Jan-2006,8839
Feb-2006,8911
Mar-2006,9054
Apr-2006,9154
May-2006,9308
Jun-2006,9478
Jul-2006,9607
Aug-2006,9564
Sep-2006,9236
Oct-2006,9267
Nov-2006,9244
Dec-2006,9338
Jan-2007,8886
Feb-2007,9006
Mar-2007,9178
